TIPO;minor_desc;casos;controls;freq
;;;;
1190;Pulmonary tuberculosis, unspecified, unspecified;13;4975;0,002613065
;;;;
1730;Tuberculosis of eye, unspecified;1;4987;0,000200521
;;;;
239;Brucellosis, unspecified;1;4987;0,000200521
;;;;
339;Whooping cough, unspecified organism;1;4987;0,000200521
;;;;
4186;Helicobacter pylori [H. pylori];178;4810;0,037006237
;;;;
42;Human immunodeficiency virus [HIV] disease;1;4987;0,000200521
;;;;
4590;Acute poliomyelitis, unspecified, poliovirus, unspecified type;1;4987;0,000200521
;;;;
529;Varicella without mention of complication;2;4986;0,000401123
;;;;
540;Eczema herpeticum;1;4987;0,000200521
;;;;
701;Viral hepatitis A without mention of hepatic coma;2;4986;0,000401123
;;;;
729;Mumps without mention of complication;1;4987;0,000200521
;;;;
75;Infectious mononucleosis;2;4986;0,000401123
;;;;
7811;Condyloma acuminatum;1;4987;0,000200521
;;;;
785;Cytomegaloviral disease;1;4987;0,000200521
;;;;
794;Human papillomavirus in conditions classified elsewhere and of unspecified site;3;4985;0,000601805
;;;;
819;Typhus, unspecified;1;4987;0,000200521
;;;;
1121;Candidiasis of vulva and vagina;1;4987;0,000200521
;;;;
11285;Candidal enteritis;1;4987;0,000200521
;;;;
1129;Candidiasis of unspecified site;1;4987;0,000200521
;;;;
118;Opportunistic mycoses;4;4984;0,000802568
;;;;
135;Sarcoidosis;1;4987;0,000200521
;;;;
1361;Behcet's syndrome;1;4987;0,000200521
;;;;
2149;Lipoma, unspecified site;1;4987;0,000200521
;;;;
2189;Leiomyoma of uterus, unspecified;1;4987;0,000200521
;;;;
23770;Neurofibromatosis, unspecified;1;4987;0,000200521
;;;;
2380;Neoplasm of uncertain behavior of bone and articular cartilage;1;4987;0,000200521
;;;;
2410;Nontoxic uninodular goiter;1;4987;0,000200521
;;;;
2411;Nontoxic multinodular goiter;1;4987;0,000200521
;;;;
24200;Toxic diffuse goiter without mention of thyrotoxic crisis or storm;1;4987;0,000200521
;;;;
24290;Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm;14;4974;0,002814636
;;;;
2440;Postsurgical hypothyroidism;3;4985;0,000601805
;;;;
2449;Unspecified acquired hypothyroidism;119;4869;0,024440337
;;;;
2451;Subacute thyroiditis;1;4987;0,000200521
;;;;
2452;Chronic lymphocytic thyroiditis;3;4985;0,000601805
;;;;
2459;Thyroiditis, unspecified;2;4986;0,000401123
;;;;
2469;Unspecified disorder of thyroid;75;4913;0,015265622
;;;;
25000;Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled;217;4771;0,045483127
;;;;
25200;Hyperparathyroidism, unspecified;1;4987;0,000200521
;;;;
25201;Primary hyperparathyroidism;1;4987;0,000200521
;;;;
2531;Other and unspecified anterior pituitary hyperfunction;1;4987;0,000200521
;;;;
25631;Premature menopause;2;4986;0,000401123
;;;;
2564;Polycystic ovaries;1;4987;0,000200521
;;;;
2662;Other B-complex deficiencies;3;4985;0,000601805
;;;;
2689;Unspecified vitamin D deficiency;8;4980;0,001606426
;;;;
2692;Unspecified vitamin deficiency;5;4983;0,001003412
;;;;
2720;Pure hypercholesterolemia;982;4006;0,245132302
;;;;
2721;Pure hyperglyceridemia;6;4982;0,001204336
;;;;
2724;Other and unspecified hyperlipidemia;1;4987;0,000200521
;;;;
27401;Acute gouty arthropathy;5;4983;0,001003412
;;;;
2749;Gout, unspecified;31;4957;0,006253783
;;;;
27501;Hereditary hemochromatosis;2;4986;0,000401123
;;;;
27503;Other hemochromatosis;1;4987;0,000200521
;;;;
27541;Hypocalcemia;10;4978;0,002008839
;;;;
27669;Other fluid overload;10;4978;0,002008839
;;;;
2768;Hypopotassemia;1;4987;0,000200521
;;;;
2774;Disorders of bilirubin excretion;1;4987;0,000200521
;;;;
27800;Obesity, unspecified;3;4985;0,000601805
;;;;
