TIPO;Cases;Controls;Freq;Description;Chapter
TIPO41090;13;4975;0,002613065;Acute myocardial infarction of unspecified site, episode of care unspecified;Diseases of the circulatory System
TIPO24290;14;4974;0.00281464;Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm;Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders
TIPO36504;15;4973;0.00301628795495677;Ocular hypertension;Diseases Of The Nervous System And Sense Organs
TIPOC50;15;4973;0.00301628795495677;Breast cancer;Neoplasms
TIPO5569;16;4972;0.00321802091713596;Ulcerative colitis, unspecified;Diseases Of The Digestive System
TIPO43491;17;4971;0.00341983504325086;Cerebral artery occlusion, unspecified with cerebral infarction;Diseases Of The Circulatory System
TIPO53081;17;4988;0.00340817963111468;Esophageal reflux;Diseases Of The Digestive System
TIPO73390;18;4970;0.00362173038229376;Disorder of bone and cartilage, unspecified;Diseases Of The Musculoskeletal System And Connective Tissue
GROUP73399;19;4969;0.00382370698329644;Disorders of bone and cartilage, unespecified;Diseases Of The Musculoskeletal System And Connective Tissue
TIPO7871;20;4968;0.00402576489533011;Heartburn;Symptoms, Signs, And Ill Defined Conditions
GROUP530;22;4966;0.00443012484897302;Reflux esophagitis, Esophagitis, unspecified, Esophageal reflux;Diseases Of The Digestive System
TIPO3004;22;4966;0.00443012484897302;Dysthymic disorder;Mental Disorders
TIPO496;22;4966;0.00443012484897302;Chronic airway obstruction, not elsewhere classified;Diseases Of The Respiratory System
TIPO3659;26;4962;0.00523982265215639;Unspecified glaucoma;Diseases Of The Nervous System And Sense Organs
TIPOC44;27;4961;0.00544245111872606;Skin cancer;Neoplasms
TIPO2749;31;4957;0.0062537825297559;Gout, unspecified;Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders
TIPO6029;34;4954;0.00686314089624546;Unspecified disorder of prostate;Diseases Of The Genitourinary System
TIPO7222;34;4954;0.00686314089624546;Displacement of intervertebral disc, site unspecified, without myelopathy;Diseases Of The Musculoskeletal System And Connective Tissue
GROUP274;36;4988;0.00721732157177225;Acute gouty arthropathy, gout;Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders
GROUP722;36;4952;0.00726978998384491;Displacement of intervertebral disc, site unspecified, without myelopathy, Degeneration of intervertebral disc;Diseases Of The Musculoskeletal System And Connective Tissue
GROUP365;41;4947;0.00828785122296341;Unspecified glaucoma, Ocular hypertension;Diseases Of The Nervous System And Sense Organs
GROUP602;50;4938;0.0101255569056298;Unspecified disorder of prostate, Hypertrophy (benign) of prostate without urinary Unspecified disorder of prostate,  Prostatitis, Unspecified disorder of prostate,Chronic prostatitis;Diseases Of The Genitourinary System
TIPO2809;56;4932;0.0113544201135442;Iron deficiency anemia, unspecified;Diseases Of The Blood And Blood Forming Organs
TIPO71590;57;4931;0.0115595213952545;Osteoarthrosis, unspecified whether generalized or localized, site unspecified;Diseases Of The Musculoskeletal System And Connective Tissue
GROUP285;60;4928;0.0121753246753247;NA;Diseases Of The Blood And Blood Forming Organs
TIPO7291;61;4927;0.012380759082606;Myalgia and myositis, unspecified;Diseases Of The Musculoskeletal System And Connective Tissue
